Model,Vehicle,Type,Origin,Seats,Drive,Engine,Cylinders,Horsepower,Mileage Overall,Mileage Highway,Mileage City,Zero-60 (sec),Braking Dry (ft),Braking Wet (ft),Avoidance Maneuver (mph),Length,Width,Height,Wheelbase,Turning Circle,Weight,Max Load,Cargo Volume,Front Shoulder,Front Leg Room,Front Head Room,Rear Shoulder,Rear Leg Room,Rear Head Room,Reliable,Satisfaction,Routine Handling,Emergency Handling,CrashDriver,CrashPassenger,SideCrashDriver,SideCrashPassenger,Frontal Offset-IIHS,Side-IIHS,Rollover Rating,Price,Category,Unnamed: 43
Toyota 4Runner,sport utility,midsize sport utility,Asia,5.0,rear or selectable 4WD,4.0,6.0,239.0,16.0,22.0,11.0,8.2,132.0,146.0,46.5,189.0,74.0,72.0,110.0,40.0,4345.0,1035.0,44.5,58.0,41.0,3.0,57.0,29.5,4.5,excellent,good,good,good,4,4,5,5.0,good,good,average,34000.0,0.0,
Toyota Avalon,car,upscale car,Asia,6.0,front,3.5,6.0,280.0,22.0,33.0,15.0,6.7,139.0,155.0,48.0,197.0,73.0,59.0,111.0,41.0,3600.0,875.0,14.0,58.5,41.0,3.0,57.5,31.0,2.5,good,good,very good,good,5,5,5,5.0,good,good,good,34000.0,0.0,
Toyota Camry,car,family car,Asia,5.0,front,3.5,6.0,268.0,23.0,32.0,16.0,7.1,137.0,149.0,51.0,189.0,72.0,58.0,109.0,40.0,3530.0,900.0,15.0,57.0,42.0,3.0,56.0,29.0,3.0,average,good,very good,good,5,5,5,5.0,good,good,good,29000.0,0.0,
Toyota Camry Hybrid,car,family car,Asia,5.0,front,2.4,4.0,187.0,34.0,41.0,28.0,8.5,145.0,157.0,50.5,189.0,72.0,58.0,109.0,40.0,3600.0,900.0,15.0,57.0,42.0,3.0,56.0,29.0,3.0,excellent,excellent,,,5,5,5,5.0,,good,good,31000.0,0.0,
Toyota Camry Solara,car,coupe,Asia,5.0,front,3.3,6.0,225.0,21.0,31.0,14.0,7.5,130.0,138.0,50.5,193.0,72.0,56.0,107.0,39.0,3620.0,755.0,14.0,55.5,40.5,5.0,44.0,25.0,4.0,good,good,,,5,5,5,5.0,good,acceptable,good,30000.0,0.0,
Toyota Celica,car,sports car,Asia,4.0,front,1.8,4.0,180.0,28.0,,,7.5,130.0,,56.2,170.0,68.0,51.0,102.0,36.0,2570.0,725.0,17.0,52.0,41.5,2.0,48.0,24.0,0.0,excellent,good,excellent,excellent,4,4,3,,,,excellent,22000.0,0.0,
Toyota Corolla,car,small car,Asia,5.0,front,1.8,4.0,132.0,32.0,40.0,23.0,9.9,136.0,145.0,51.0,178.0,67.0,58.0,102.0,38.0,2595.0,860.0,14.0,52.0,40.0,5.0,53.0,27.0,2.0,good,good,very good,good,4,4,5,4.0,good,good,good,20000.0,0.0,
Toyota FJ Cruiser,sport utility,small sport utility,Asia,5.0,rear or parttime 4WD,4.0,6.0,239.0,17.0,21.0,13.0,8.0,138.0,157.0,45.5,184.0,75.0,72.0,106.0,44.0,4350.0,1190.0,34.0,58.5,40.0,5.0,53.5,25.5,5.0,excellent,good,,,5,4,5,5.0,good,good,good,24000.0,0.0,
Toyota Highlander,sport utility,midsize sport utility,Asia,5.0,front or all,3.5,6.0,270.0,18.0,26.0,13.0,8.0,139.0,151.0,49.0,188.0,75.0,69.0,110.0,42.0,4490.0,1200.0,37.5,59.5,41.5,3.5,59.0,32.0,5.0,excellent,good,very good,good,5,4,5,5.0,good,good,good,39000.0,0.0,
Toyota Highlander Hybrid,sport utility,midsize sport utility,Asia,5.0,front or all,3.3,6.0,270.0,24.0,28.0,20.0,8.2,140.0,153.0,50.5,188.0,75.0,69.0,110.0,42.0,,1200.0,37.5,59.5,41.5,3.5,59.0,32.0,5.0,excellent,good,,,5,4,5,5.0,good,good,good,42000.0,0.0,
Toyota Land Cruiser,sport utility,luxury sport utility,Asia,7.0,4WD,5.7,8.0,381.0,14.0,20.0,10.0,7.3,140.0,158.0,46.0,195.0,78.0,74.0,112.0,43.0,5855.0,1585.0,,61.0,41.5,3.5,61.0,31.0,4.5,,good,good,fair,5,4,5,5.0,,,,65000.0,0.0,
Toyota Matrix,car,small car,Asia,5.0,rear,2.4,4.0,158.0,27.0,36.0,19.0,8.3,132.0,142.0,52.0,173.0,70.0,61.0,102.0,37.0,3140.0,850.0,,53.0,40.0,5.5,51.5,26.5,4.0,excellent,average,very good,good,5,5,5,4.0,good,good,good,21000.0,0.0,
Toyota MR2,car,sports car,Asia,2.0,front or all,1.8,4.0,138.0,31.0,,,7.1,125.0,,54.5,153.0,67.0,49.0,97.0,35.0,2235.0,425.0,2.0,51.5,41.0,3.5,,,,excellent,,excellent,very good,,,,,,,,25000.0,0.0,
Toyota Prius,car,family car,Asia,5.0,front,1.5,4.0,110.0,42.0,47.0,34.0,10.6,133.0,140.0,53.5,175.0,68.0,58.0,106.0,37.0,2950.0,825.0,16.0,55.0,40.5,4.0,52.5,30.0,2.0,excellent,excellent,very good,good,4,4,5,4.0,good,good,good,24000.0,0.0,
Toyota RAV4,sport utility,small sport utility,Asia,5.0,front or all,3.5,6.0,269.0,22.0,29.0,15.0,6.7,135.0,143.0,52.5,181.0,72.0,66.0,105.0,39.0,3750.0,825.0,38.5,57.0,40.0,4.0,55.0,29.0,4.0,good,good,very good,good,5,4,5,5.0,good,good,good,26000.0,0.0,
Toyota Sequoia,sport utility,large sport utility,Asia,8.0,front,5.7,8.0,381.0,15.0,21.0,10.0,7.1,146.0,163.0,47.0,205.0,80.0,78.0,122.0,,5925.0,,,66.5,,,65.5,,,average,average,good,fair,5,4,,,,,good,53000.0,0.0,
Toyota Sienna,minivan,minivan,Asia,7.0,front or all,3.5,6.0,266.0,19.0,28.0,13.0,7.8,138.0,147.0,51.5,201.0,77.0,69.0,119.0,39.0,4550.0,1050.0,70.5,64.0,40.5,3.5,64.5,31.5,4.0,good,good,very good,good,4,5,5,5.0,good,good,good,37000.0,0.0,
Toyota Tacoma,truck,truck,Asia,5.0,rear or parttime 4WD,4.0,6.0,239.0,17.0,21.0,13.0,7.6,131.0,140.0,50.0,208.0,75.0,70.0,128.0,43.0,4115.0,1100.0,,57.0,42.5,4.0,57.0,28.0,3.0,good,good,good,good,5,5,5,5.0,good,good,good,27000.0,0.0,
Toyota Tundra,truck,truck,Asia,6.0,rear or parttime 4WD,5.7,8.0,381.0,15.0,20.0,10.0,6.7,153.0,178.0,44.5,229.0,80.0,76.0,146.0,49.0,5740.0,1395.0,,64.5,42.5,5.5,63.0,28.5,3.5,average,good,good,fair,4,4,,,good,good,good,40000.0,0.0,
Toyota Yaris,car,small car,Asia,5.0,front,1.5,4.0,106.0,33.0,44.0,23.0,11.4,139.0,151.0,51.5,169.0,67.0,58.0,100.0,34.0,2430.0,845.0,14.0,50.5,40.5,3.5,50.0,27.0,1.5,excellent,average,,,4,4,4,4.0,good,good,good,15000.0,0.0,
Volkswagen Eos,car,convertible,Europe,4.0,front,2.0,4.0,200.0,25.0,34.0,18.0,7.9,135.0,144.0,53.0,174.0,71.0,57.0,102.0,36.0,3580.0,885.0,11.0,53.0,42.0,4.5,39.5,24.0,0.0,fair,good,very good,very good,4,4,5,5.0,,,,35000.0,0.0,
Volkswagen Golf,car,small car,Europe,5.0,front,2.8,6.0,200.0,,,,,,,,163.0,68.0,57.0,99.0,36.0,2935.0,935.0,18.0,53.5,41.5,5.0,53.0,26.0,2.0,,,very good,very good,5,5,4,4.0,good,,,22000.0,0.0,
Volkswagen GTI,car,sports car,Europe,5.0,front,2.0,4.0,200.0,25.0,32.0,19.0,6.7,134.0,141.0,57.0,166.0,69.0,58.0,102.0,36.0,3155.0,960.0,15.0,54.0,42.0,5.0,51.5,27.5,3.5,average,excellent,excellent,excellent,4,4,5,5.0,good,good,good,24000.0,0.0,
Volkswagen Jetta,car,family car,Europe,5.0,front,2.5,5.0,150.0,24.0,33.0,17.0,9.4,140.0,146.0,55.0,179.0,69.0,58.0,102.0,36.0,3330.0,970.0,16.0,54.5,42.0,3.5,51.5,27.5,2.0,average,average,very good,very good,4,4,5,5.0,good,good,good,25000.0,0.0,
Volkswagen New Beetle,car,small car,Europe,4.0,front,1.8,4.0,150.0,24.0,,,8.2,133.0,,55.5,161.0,68.0,59.0,99.0,37.0,3280.0,770.0,5.0,52.0,42.0,8.0,40.5,23.5,0.0,fair,average,very good,very good,4,4,5,3.0,good,poor,good,23000.0,0.0,
Volkswagen Passat,car,family car,Europe,5.0,front,2.0,4.0,200.0,24.0,34.0,16.0,7.7,135.0,145.0,52.5,188.0,72.0,58.0,107.0,38.0,3615.0,1030.0,14.0,54.5,41.5,4.0,53.0,29.0,3.0,fair,average,very good,very good,4,4,5,4.0,good,good,good,29000.0,0.0,
Volkswagen Phaeton,car,luxury car,Europe,5.0,front or all,4.2,8.0,335.0,,,,,,,,204.0,75.0,57.0,118.0,,5100.0,,13.0,59.5,,,58.0,,,,,,,,,,,,,,80000.0,0.0,
Volkswagen R32,car,upscale car,Europe,5.0,all,3.2,6.0,250.0,22.0,28.0,16.0,6.4,134.0,151.0,53.5,166.0,69.0,58.0,102.0,37.0,3540.0,1060.0,,54.0,43.0,5.0,53.0,27.0,4.0,,,excellent,very good,,,,,,,,33000.0,0.0,
Volkswagen Rabbit,car,small car,Europe,5.0,front,2.5,5.0,170.0,24.0,32.0,16.0,8.5,128.0,138.0,55.5,166.0,69.0,58.0,101.0,36.0,3100.0,970.0,15.0,54.5,42.5,5.0,51.0,27.5,3.5,good,good,excellent,very good,4,4,5,5.0,good,good,good,19000.0,0.0,
Volkswagen Tiguan,sport utility,small sport utility,Europe,5.0,front or all,2.0,4.0,200.0,20.0,28.0,13.0,8.6,137.0,153.0,53.0,173.0,73.0,67.0,103.0,39.0,3400.0,1100.0,,55.0,42.0,5.0,52.0,28.0,1.5,,,very good,very good,,,,,good,good,,32000.0,0.0,
Volkswagen Touareg 2,sport utility,small sport utility,Europe,5.0,all,3.6,6.0,280.0,15.0,20.0,10.0,8.5,143.0,155.0,48.5,187.0,76.0,68.0,112.0,38.0,5000.0,1280.0,35.5,57.5,41.0,4.0,57.5,27.0,4.5,poor,fair,very good,good,5,5,5,5.0,,,good,48000.0,0.0,
Volvo C30,car,coupe,Europe,4.0,front,2.5,5.0,227.0,25.0,35.0,17.0,7.2,143.0,161.0,53.0,167.0,70.0,57.0,104.0,37.0,3185.0,1040.0,15.0,54.5,40.5,2.5,50.0,26.0,2.0,excellent,good,very good,very good,,,,,,,,25000.0,0.0,
Volvo C70,car,convertible,Europe,4.0,front,2.5,5.0,227.0,21.0,33.0,13.0,8.3,133.0,143.0,50.5,180.0,72.0,55.0,104.0,41.0,3820.0,640.0,13.0,54.0,41.0,3.0,43.0,24.0,0.0,average,average,very good,good,4,5,5,5.0,good,good,,39000.0,0.0,
Volvo S40,car,family car,Europe,5.0,front,2.4,5.0,168.0,23.0,36.0,14.0,9.4,135.0,148.0,52.0,176.0,70.0,57.0,104.0,37.0,3245.0,950.0,14.0,55.0,41.5,3.0,53.5,28.0,1.5,average,poor,,,4,5,5,5.0,good,acceptable,good,33000.0,0.0,
Volvo S60,car,upscale car,Europe,5.0,front or all,2.5,5.0,208.0,22.0,35.0,14.0,7.9,140.0,145.0,50.5,180.0,71.0,56.0,107.0,42.0,3465.0,890.0,14.0,56.0,42.0,4.0,56.0,27.0,3.0,good,average,very good,good,4,4,5,5.0,good,acceptable,excellent,36000.0,0.0,
Volvo S80,car,luxury car,Europe,5.0,front,3.2,6.0,235.0,20.0,31.0,13.0,8.6,139.0,158.0,50.5,191.0,73.0,59.0,112.0,39.0,3850.0,905.0,15.0,57.0,41.0,3.5,56.5,28.0,3.5,good,average,excellent,very good,5,5,5,5.0,good,good,,50000.0,0.0,
Volvo V50,car,wagon,Europe,5.0,front or all,3.2,6.0,168.0,20.0,32.0,13.0,8.5,139.0,153.0,51.0,178.0,70.0,57.0,104.0,,3555.0,800.0,27.5,55.0,40.5,3.0,53.5,27.0,1.5,,,,,,,,,,,,35000.0,0.0,
Volvo V70/XC70,car,wagon,Europe,7.0,front or all,3.2,6.0,235.0,18.0,25.0,12.0,8.5,135.0,140.0,50.5,191.0,73.0,63.0,111.0,40.0,4170.0,900.0,36.5,57.5,42.0,3.0,57.0,28.5,4.0,fair,average,very good,good,5,5,5,5.0,,,,40000.0,0.0,
Volvo XC90,sport utility,luxury sport utility,Europe,7.0,front or all,4.4,8.0,311.0,16.0,24.0,11.0,7.6,136.0,138.0,52.5,189.0,75.0,70.0,113.0,42.0,4950.0,1210.0,38.0,58.0,40.5,4.0,56.5,27.0,4.5,average,fair,very good,good,5,5,5,5.0,good,good,good,49000.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
