Model,Vehicle,Type,Origin,Seats,Drive,Engine,Cylinders,Horsepower,Mileage Overall,Mileage Highway,Mileage City,Zero-60 (sec),Braking Dry (ft),Braking Wet (ft),Avoidance Maneuver (mph),Length,Width,Height,Wheelbase,Turning Circle,Weight,Max Load,Cargo Volume,Front Shoulder,Front Leg Room,Front Head Room,Rear Shoulder,Rear Leg Room,Rear Head Room,Reliable,Satisfaction,Routine Handling,Emergency Handling,CrashDriver,CrashPassenger,SideCrashDriver,SideCrashPassenger,Frontal Offset-IIHS,Side-IIHS,Rollover Rating,Price,Category,Unnamed: 43
Ford Crown Victoria,car,family car,USA,5.0,front or all,3.5,6.0,265.0,16.0,,,8.3,147.0,,,212.0,78.0,57.0,115.0,42.0,4180.0,1100.0,21.0,61.0,40.5,5.5,60.5,27.5,3.0,average,average,poor,good,5,5,3,3.0,,,good,31000.0,0.0,
Ford Edge,sport utility,small sport utility,USA,5.0,front or all,3.5,6.0,265.0,16.0,26.0,11.0,8.3,147.0,159.0,49.5,186.0,76.0,67.0,111.0,39.0,4540.0,910.0,36.0,59.0,41.0,2.5,59.5,31.0,2.0,average,good,very good,good,5,4,5,5.0,good,good,good,33000.0,0.0,
Ford Escape,sport utility,small sport utility,USA,5.0,front or all,3.0,6.0,200.0,19.0,26.0,13.0,10.5,161.0,215.0,49.5,175.0,70.0,70.0,103.0,40.0,3605.0,1000.0,37.5,56.0,40.5,3.0,55.0,28.0,4.0,average,fair,good,good,5,5,5,5.0,good,good,average,27000.0,0.0,
Ford Expedition,sport utility,large sport utility,USA,7.0,rear or 4WD,5.4,8.0,300.0,13.0,18.0,8.0,9.1,154.0,166.0,46.5,221.0,79.0,77.0,131.0,45.0,6325.0,1570.0,72.5,63.0,40.0,4.0,64.0,28.0,5.0,average,average,good,fair,5,5,5,5.0,,,good,48000.0,0.0,
Ford Explorer,sport utility,midsize sport utility,USA,5.0,rear or parttime 4WD,4.0,6.0,210.0,15.0,22.0,10.0,9.7,152.0,163.0,50.5,193.0,74.0,73.0,114.0,38.0,4905.0,1275.0,48.0,58.5,40.5,2.5,58.5,28.0,4.0,average,fair,good,good,5,5,5,5.0,good,acceptable,average,37000.0,0.0,
Ford Explorer Sport Trac,truck,truck,USA,6.0,rear or parttime 4WD,4.0,6.0,210.0,14.0,21.0,9.0,10.6,146.0,170.0,48.0,210.0,74.0,73.0,131.0,43.0,4985.0,1205.0,,58.5,41.5,3.0,58.5,28.5,3.5,average,fair,,good,5,5,5,5.0,good,acceptable,good,32000.0,0.0,
Ford F-150,truck,truck,USA,5.0,all,5.4,8.0,300.0,13.0,19.0,9.0,8.8,153.0,190.0,45.0,224.0,79.0,76.0,139.0,47.0,5690.0,1510.0,,66.0,40.0,5.0,66.0,30.0,4.0,average,average,good,fair,,,,,good,good,good,40000.0,0.0,
Ford F-250,truck,truck,USA,5.0,all,6.4,8.0,350.0,10.0,16.0,7.0,9.8,159.0,181.0,44.0,231.0,80.0,80.0,156.0,54.0,8025.0,1905.0,,67.0,41.0,4.0,67.0,31.0,6.0,poor,fair,poor,poor,,,,,,,,42000.0,0.0,
Ford Flex,sport utility,midsize sport utility,USA,5.0,front,3.5,6.0,262.0,17.0,25.0,11.0,9.0,144.0,157.0,51.0,202.0,80.0,68.0,118.0,,4805.0,1160.0,47.5,58.5,41.5,6.5,58.0,31.5,7.0,,,poor,good,5,5,5,5.0,good,good,good,36000.0,0.0,
Ford Focus,car,small car,USA,5.0,front,2.0,4.0,132.0,26.0,35.0,18.0,10.1,137.0,147.0,53.0,175.0,68.0,59.0,103.0,,2800.0,825.0,14.0,53.5,,,53.5,,,good,average,,,4,4,5,4.0,good,acceptable,good,19000.0,1.0,
Ford Freestar,sport utility,midsize sport utility,USA,7.0,front or all,3.0,6.0,203.0,18.0,,,9.1,142.0,,47.0,201.0,77.0,69.0,121.0,42.0,4425.0,1315.0,61.5,61.0,40.0,5.5,64.0,29.0,6.0,average,fair,very good,good,5,5,4,5.0,good,,good,30000.0,0.0,
Ford Freestyle,car,family car,USA,5.0,front,3.0,6.0,221.0,,,,,,,,200.0,74.0,68.0,113.0,42.0,4280.0,,,58.5,,,58.0,,,poor,average,,,5,5,5,5.0,,,,29000.0,0.0,
Ford Fusion,car,family car,USA,5.0,rear,3.0,6.0,221.0,20.0,29.0,14.0,8.0,136.0,143.0,52.5,190.0,72.0,56.0,107.0,42.0,3480.0,850.0,16.0,57.5,40.5,2.5,56.0,28.0,2.5,excellent,good,,,5,5,5,4.0,good,good,excellent,26000.0,0.0,
Ford Mustang,car,coupe,USA,4.0,rear,4.0,6.0,210.0,20.0,30.0,13.0,7.5,139.0,145.0,51.5,188.0,74.0,55.0,107.0,36.0,3590.0,700.0,13.0,55.5,41.5,5.0,46.0,23.5,0.0,average,average,,,5,5,5,5.0,acceptable,good,excellent,28000.0,0.0,
Ford Ranger,truck,truck,USA,6.0,front,3.5,6.0,201.0,22.0,,,8.3,154.0,,48.5,202.0,70.0,68.0,126.0,45.0,3870.0,1210.0,,54.0,42.5,5.0,18.0,22.5,2.0,average,poor,,,5,4,4,,acceptable,marginal,average,25000.0,0.0,
